mtx 20110118 PYY1002 SG
<	>
FITC-A	PE-A	PerCP-Cy5-5-A	PE-Cy7-A	Horizon V450-A	AmCyan-A	Blue Vid-A	APC-A	Alexa Fluor 700-A	APC-Cy7-A
1	0.23	0.03166	6.153e-3	0	0.0768	0	0	0	0
6.713e-3	1	0.1687	0.02619	0	1.446e-3	0	5.952e-4	0	0
0	1.336e-3	1	0.3169	0	0	0	0.06882	0.2771	0.05964
0	5.587e-3	2.236e-3	1	0	0	0	0	6.152e-3	0.0459
0	0	0	0	1	0.1645	0.02016	0	0	0
0.02738	9.364e-3	3.138e-3	0	0.09162	1	2.227e-3	0	1.166e-3	0
0.01574	0.01257	0.0163	0.02382	0.1932	0.02133	1	0.01771	9.774e-3	4.196e-3
0	0	2.515e-3	0	0	0	1.447e-3	1	0.207	0.02908
0	0	6.489e-3	4.575e-3	0	0	0	7.017e-3	1	0.1402
0	0	0	0.02192	0	0	0	0.1436	0.1522	1
